0023	#	NUMBER SIGN	Nb
0024	$	[CURR] DOLLAR SIGN	DO
0040	@	COMMERCIAL AT	At
005B	[	LEFT SQUARE BRACKET	<(
005C	\	REVERSE SOLIDUS	//
005D	]	RIGHT SQUARE BRACKET	)>
005E	^	CIRCUMFLEX ACCENT	'>
0060	`	GRAVE ACCENT	'!
007B	(!	LEFT CURLY BRACKET	(!
007C	|	VERTICAL LINE	!!
007D	!)	RIGHT CURLY BRACKET	!)
007E	~	TILDE	'?

00A0	 	NO-BREAK SPACE	NS
00A1	¡	INVERTED EXCLAMATION MARK	!I
00A2	¢	[CURR] CENT SIGN	Ct
00A3	£	[CURR] POUND SIGN	Pd
00A4	¤	CURRENCY SIGN	Cu
00A5	¥	[CURR] YEN SIGN	Ye
00A6	¦	BROKEN BAR	BB
00A7	§	SECTION SIGN	SE
00A8	¨	DIAERESIS	':
00A9	©	COPYRIGHT SIGN	Co
00AA	ª	FEMININE ORDINAL INDICATOR	-a
00AB	«	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK	<<
00AC	¬	NOT SIGN	NO
00AD	­	SOFT HYPHEN	--
00AE	®	REGISTERED SIGN	Rg
00AF	¯	MACRON	'm
00B0	°	DEGREE SIGN	DG
00B1	±	PLUS-MINUS SIGN	+-
00B2	²	SUPERSCRIPT TWO	2S
00B3	³	SUPERSCRIPT THREE	3S
00B4	´	ACUTE ACCENT	''
00B5	µ	MICRO SIGN	My
00B6	¶	PILCROW SIGN	PI
00B7	·	MIDDLE DOT	.M
00B8	¸	CEDILLA	',
00B9	¹	SUPERSCRIPT ONE	1S
00BA	º	MASCULINE ORDINAL INDICATOR	-o
00BB	»	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK	>>
00BC	¼	VULGAR FRACTION ONE QUARTER	14
00BD	½	VULGAR FRACTION ONE HALF	12
00BE	¾	VULGAR FRACTION THREE QUARTERS	34
00BF	¿	INVERTED QUESTION MARK	?I

00C0	À	LATIN CAPITAL LETTER A WITH GRAVE	A!
00C1	Á	LATIN CAPITAL LETTER A WITH ACUTE	A'
00C2	Â	LATIN CAPITAL LETTER A WITH CIRCUMFLEX	A>
00C3	Ã	LATIN CAPITAL LETTER A WITH TILDE	A?
00C4	Ä	LATIN CAPITAL LETTER A WITH DIAERESIS	A:
00C5	Å	LATIN CAPITAL LETTER A WITH RING ABOVE	AA
00C6	Æ	LATIN CAPITAL LETTER AE	AE
00C7	Ç	LATIN CAPITAL LETTER C WITH CEDILLA	C,
00C8	È	LATIN CAPITAL LETTER E WITH GRAVE	E!
00C9	É	LATIN CAPITAL LETTER E WITH ACUTE	E'
00CA	Ê	LATIN CAPITAL LETTER E WITH CIRCUMFLEX	E>
00CB	Ë	LATIN CAPITAL LETTER E WITH DIAERESIS	E:
00CC	Ì	LATIN CAPITAL LETTER I WITH GRAVE	I!
00CD	Í	LATIN CAPITAL LETTER I WITH ACUTE	I'
00CE	Î	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	I>
00CF	Ï	LATIN CAPITAL LETTER I WITH DIAERESIS	I:
00D0	Ð	[ICELANDIC] LATIN CAPITAL LETTER ETH	D-
00D1	Ñ	LATIN CAPITAL LETTER N WITH TILDE	N?
00D2	Ò	LATIN CAPITAL LETTER O WITH GRAVE	O!
00D3	Ó	LATIN CAPITAL LETTER O WITH ACUTE	O'
00D4	Ô	LATIN CAPITAL LETTER O WITH CIRCUMFLEX	O>
00D5	Õ	LATIN CAPITAL LETTER O WITH TILDE	O?
00D6	Ö	LATIN CAPITAL LETTER O WITH DIAERESIS	O:
00D7	×	MULTIPLICATION SIGN	*X
00D8	Ø	LATIN CAPITAL LETTER O WITH STROKE	O/
00D9	Ù	LATIN CAPITAL LETTER U WITH GRAVE	U!
00DA	Ú	LATIN CAPITAL LETTER U WITH ACUTE	U'
00DB	Û	LATIN CAPITAL LETTER U WITH CIRCUMFLEX	U>
00DC	Ü	LATIN CAPITAL LETTER U WITH DIAERESIS	U:
00DD	Ý	LATIN CAPITAL LETTER Y WITH ACUTE	Y'
00DE	Þ	[ICELANDIC] LATIN CAPITAL LETTER THORN	TH
00DF	ß	[GERMAN] LATIN SMALL LETTER SHARP S	ss
00E0	à	LATIN SMALL LETTER A WITH GRAVE	a!
00E1	á	LATIN SMALL LETTER A WITH ACUTE	a'
00E2	â	LATIN SMALL LETTER A WITH CIRCUMFLEX	a>
00E3	ã	LATIN SMALL LETTER A WITH TILDE	a?
00E4	ä	LATIN SMALL LETTER A WITH DIAERESIS	a:
00E5	å	LATIN SMALL LETTER A WITH RING ABOVE	aa
00E6	æ	LATIN SMALL LETTER AE	ae
00E7	ç	LATIN SMALL LETTER C WITH CEDILLA	c,
00E8	è	LATIN SMALL LETTER E WITH GRAVE	e!
00E9	é	LATIN SMALL LETTER E WITH ACUTE	e'
00EA	ê	LATIN SMALL LETTER E WITH CIRCUMFLEX	e>
00EB	ë	LATIN SMALL LETTER E WITH DIAERESIS	e:
00EC	ì	LATIN SMALL LETTER I WITH GRAVE	i!
00ED	í	LATIN SMALL LETTER I WITH ACUTE	i'
00EE	î	LATIN SMALL LETTER I WITH CIRCUMFLEX	i>
00EF	ï	LATIN SMALL LETTER I WITH DIAERESIS	i:
00F0	ð	[ICELANDIC] LATIN SMALL LETTER ETH	d-
00F1	ñ	LATIN SMALL LETTER N WITH TILDE	n?
00F2	ò	LATIN SMALL LETTER O WITH GRAVE	o!
00F3	ó	LATIN SMALL LETTER O WITH ACUTE	o'
00F4	ô	LATIN SMALL LETTER O WITH CIRCUMFLEX	o>
00F5	õ	LATIN SMALL LETTER O WITH TILDE	o?
00F6	ö	LATIN SMALL LETTER O WITH DIAERESIS	o:
00F7	÷	DIVISION SIGN	-:
00F8	ø	LATIN SMALL LETTER O WITH STROKE	o/
00F9	ù	LATIN SMALL LETTER U WITH GRAVE	u!
00FA	ú	LATIN SMALL LETTER U WITH ACUTE	u'
00FB	û	LATIN SMALL LETTER U WITH CIRCUMFLEX	u>
00FC	ü	LATIN SMALL LETTER U WITH DIAERESIS	u:
00FD	ý	LATIN SMALL LETTER Y WITH ACUTE	y'
00FE	þ	[ICELANDIC] LATIN SMALL LETTER THORN	th
00FF	ÿ	LATIN SMALL LETTER Y WITH DIAERESIS	y:

0100	Ā	LATIN CAPITAL LETTER A WITH MACRON	A-
0101	ā	LATIN SMALL LETTER A WITH MACRON	a-
0102	Ă	LATIN CAPITAL LETTER A WITH BREVE	A(
0103	ă	LATIN SMALL LETTER A WITH BREVE	a(
0104	Ą	LATIN CAPITAL LETTER A WITH OGONEK	A;
0105	ą	LATIN SMALL LETTER A WITH OGONEK	a;
